Company Name,Ticker,Zacks Industry Rank,Zacks Rank,VGM Score
"Peabody Energy Corporation","BTU","63","3","D"
"Britvic PLC Sponsored ADR","BTVCY","121","4","A"
"AnheuserBusch InBev SANV","BUD","167","4","F"
"Burberry Group PLC","BURBY","195","3","A"
"Burlington Stores, Inc.","BURL","231","5","C"
"First Busey Corporation","BUSE","236","5","D"
"BrightView Holdings, Inc.","BV","212","4","B"
"Buenaventura Mining Company Inc.","BVN","81","4","F"
"Bureau Veritas Registre International De Classification","BVRDF","152","4","A"
"BorgWarner Inc.","BWA","165","4","A"
"Brainsway Ltd. Sponsored ADR","BWAY","68","2","C"
"Bridgewater Bancshares, Inc.","BWB","219","3","D"
"Broadwind Energy, Inc.","BWEN","219","2","B"
"Bankwell Financial Group, Inc.","BWFG","219","5","F"
"BWX Technologies, Inc.","BWXT","144","1","C"
"Blackstone Group IncThe","BX","161","3","C"
"Brambles Ltd.","BXBLY","126","3","B"
"BlueLinx Holdings Inc.","BXC","163","3","C"
"Bluegreen Vacations Corporation","BXG","121","3","D"
"Blackstone Mortgage Trust, Inc.","BXMT","203","3","D"
"Boston Properties, Inc.","BXP","80","3","D"
"BancorpSouth Bank","BXS","247","5","C"
"Byline Bancorp, Inc.","BY","219","5","C"
"Boyd Gaming Corporation","BYD","120","3","F"
"Byd Co., Ltd.","BYDDY","81","3","B"
"Beyond Meat, Inc.","BYND","144","3","F"
"Beazer Homes USA, Inc.","BZH","245","5","A"
"Bunzl PLC","BZLFY","183","3","A"
"Baozun Inc.","BZUN","81","4","A"
"BUZZI UNICEM","BZZUF","219","5","C"
"Citigroup Inc.","C","247","4","F"
"Corporacion America Airports S.A.","CAAP","135","3","C"
"China Automotive Systems, Inc.","CAAS","165","3","B"
"Carlsberg AS","CABGY","167","3","A"
"Cable One, Inc.","CABO","126","3","C"
"Camden National Corporation","CAC","219","3","F"
"Credit Acceptance Corporation","CACC","227","3","B"
"CACI International, Inc.","CACI","167","3","A"
"Cadence Bancorp","CADE","247","5","B"
"CAE Inc","CAE","211","3","A"
"Cardinal Health, Inc.","CAH","167","3","A"
"CAI International, Inc.","CAI","243","3","A"
"Canon, Inc.","CAJ","240","4","B"
"The Cheesecake Factory Incorporated","CAKE","167","3","B"
"Caleres, Inc.","CAL","235","3","D"
"CalMaine Foods, Inc.","CALM","81","1","C"
"CalAmp Corp.","CAMP","144","3","C"
"Camtek Ltd.","CAMT","135","3","F"
"CrossAmerica Partners LP","CAPL","125","3","B"
"Capricor Therapeutics, Inc.","CAPR","68","3","F"
"Avis Budget Group, Inc.","CAR","56","3","C"
"Carter Bank  Trust","CARE","219","3","D"
"CarGurus, Inc.","CARG","229","3","D"
